3011.8380	-0.0020
3517.8380	3011.8380
3721.4380	3517.8380
3844.3980	3721.4380
4050.0140	3844.3980
3846.4140	4050.0140
3949.2140	3846.4140
4069.1500	3949.2140
3863.5340	4069.1500
3743.5980	3863.5340
3620.6380	3743.5980
3728.4780	3620.6380
3932.0780	3728.4780
3728.4780	3932.0780
3831.2780	3728.4780
3934.0780	3831.2780
3831.2780	3934.0780
3934.0780	3831.2780
4137.6780	3934.0780
4034.8780	4137.6780
4218.3180	4034.8780
4110.4780	4218.3180
4007.6780	4110.4780
4007.6780	4211.2780
4211.2780	4007.6780
3804.0780	4007.6780
5955.1340	3804.0780
6158.7340	5955.1340
8177.7420	6158.7340
8074.9420	8177.7420
7871.3420	8074.9420
7974.1420	7871.3420
7871.3420	7974.1420
8074.9420	7871.3420
8177.7420	8074.9420
8280.5420	8177.7420
8583.9340	8280.5420
11768.7545	8583.9340
12980.3545	11768.7545
13083.1545	12980.3545
12980.3545	13083.1545
12877.5545	12980.3545
12805.9865	13009.5865
13009.5865	12877.5545
12502.5945	12805.9865
16133.3945	12502.5945
16133.3945	16133.3945
16336.9945	16133.3945
16681.7145	16336.9945
17592.9145	17490.1145
17490.1145	16681.7145
17998.1145	17592.9145
16786.5145	17998.1145
19812.5145	16786.5145
17793.5065	19812.5145
17487.1065	17589.9065
17589.9065	17793.5065
17384.3065	17487.1065
16575.9065	17384.3065
14424.8505	16575.9065
11398.8505	14424.8505
10993.6505	11398.8505
10861.6185	10993.6505
10516.8985	10861.6185
11123.6985	10516.8985
16165.6985	11123.6985
16470.0985	16165.6985
16673.6985	16470.0985
13042.8985	16673.6985
13246.4985	13042.8985
14256.4985	13246.4985
19298.4985	14256.4985
18691.6985	19298.4985
18387.2985	18691.6985
17881.2985	18387.2985
18286.4985	17881.2985
15101.6780	18286.4985
14898.0780	15101.6780
13888.0780	14898.0780
15402.0780	13888.0780
14996.8780	15402.0780
15805.2780	14996.8780
10763.2780	15805.2780
5721.2780	10763.2780
5517.6780	5721.2780
8926.7180	5517.6780
8118.3180	8926.7180
7934.8780	8118.3180
8118.3180	7934.8780
9632.3180	8118.3180
9448.8780	9632.3180
9551.6780	9448.8780
9856.0780	9551.6780
13828.5900	9856.0780
14032.1900	13828.5900
18249.6460	14032.1900
18146.8460	18249.6460
18350.4460	18146.8460
18146.8460	18350.4460
18957.2460	18652.8460
18652.8460	18146.8460
19664.8460	18957.2460
19868.4460	19664.8460
20051.8860	19868.4460
19545.8860	20051.8860
19648.6860	19545.8860
15431.2300	19648.6860
13917.2300	15431.2300
13733.7900	13917.2300
13429.3900	13733.7900
13225.7900	13429.3900
13122.9900	13225.7900
9713.9500	13122.9900
9006.3500	9713.9500
9171.6460	9006.3500
8867.2460	9171.6460
7353.2460	8867.2460
9472.0460	7353.2460
12498.0460	9472.0460
12498.0460	12498.0460
14881.9500	12498.0460
15900.0140	14881.9500
13781.2140	15900.0140
15597.6140	13781.2140
15432.3180	15597.6140
15725.7308	15432.3180
12699.7308	15725.7308
12496.1308	12699.7308
8523.6188	12496.1308
9231.2188	8523.6188
9414.6588	9231.2188
7598.2588	9414.6588
10120.2588	7598.2588
7736.3548	10120.2588
8456.0508	7736.3548
8272.6108	8456.0508
7979.1980	8272.6108
8197.9180	7979.1980
8300.7180	8197.9180
10318.7180	8300.7180
10578.7660	10318.7180
9859.0700	10578.7660
9640.3500	9859.0700
9537.5500	9640.3500
9900.4140	9537.5500
7882.4140	9900.4140
7622.3660	7882.4140
7259.5020	7622.3660
6241.4380	7259.5020
9771.4380	6241.4380
9924.6380	9771.4380
12040.4140	9924.6380
12143.2140	12040.4140
8613.2140	12143.2140
6497.4380	8613.2140
6344.2380	6497.4380
6241.4380	6344.2380
6533.7420	6241.4380
6681.9423	6533.7420
6936.9503	6681.9423
6788.7500	6936.9503
6496.4460	6788.7500
3974.4460	6496.4460
4077.2460	3974.4460
3992.5740	3822.2380
3822.2380	4077.2460
4347.3740	3992.5740
4244.5740	4347.3740
11531.3740	6564.9740
6564.9740	4244.5740
12339.7740	11531.3740
13349.7740	12339.7740
13593.6940	13349.7740
14200.4940	13593.6940
19746.4940	14200.4940
22339.0540	19746.4940
26079.7260	22339.0540
26363.9660	26079.7260
27373.9660	26363.9660
26767.1660	27373.9660
26523.2460	26767.1660
21556.8460	26523.2460
24381.2460	21556.8460
24751.1500	24497.1500
24497.1500	24381.2460
24580.8140	24751.1500
25106.9740	24580.8140
25310.5740	25106.9740
25514.1740	25310.5740
27733.7740	25514.1740
27836.5740	27733.7740
25516.1740	27836.5740
25400.2700	25516.1740
25906.2700	25400.2700
25622.0300	25906.2700
25825.6300	25622.0300
26029.2300	25825.6300
26535.2300	26029.2300
28553.2300	26535.2300
26333.6300	28553.2300
25807.4700	26333.6300
25704.6700	25807.4700
24896.2700	25704.6700
25099.8700	24896.2700
24896.2700	25099.8700
25200.6700	24896.2700
24997.0700	25200.6700
24793.4700	24997.0700
21052.7980	24793.4700
20546.7980	21052.7980
20750.3980	20546.7980
21929.7420	20750.3980
22551.6620	21929.7420
22045.6620	22551.6620
20027.6620	22045.6620
20231.2620	20027.6620
20535.6620	20231.2620
21142.4620	20535.6620
23309.6300	22602.0300
22602.0300	21142.4620
23513.2300	23309.6300
23259.2300	23513.2300
23758.1580	23655.3580
23655.3580	23259.2300
25236.8780	23758.1580
26470.6540	25236.8780
28488.6540	26470.6540
29476.4780	28488.6540
29901.8380	29476.4780
30307.0380	29901.8380
31115.4380	30307.0380
30911.8380	31115.4380
32564.9260	31599.2780
31599.2780	30911.8380
32718.1260	32564.9260
32992.2860	32718.1260
31982.2860	32992.2860
26436.2860	31982.2860
26942.2860	26335.4860
26335.4860	26232.6860
26232.6860	26436.2860
27196.2860	26942.2860
26992.6860	27196.2860
24974.6860	26992.6860
24352.7660	24974.6860
23665.3260	24352.7660
23260.1260	23665.3260
22834.7660	23260.1260
14098.5900	17630.5900
16922.9900	18438.9900
17630.5900	19404.6380
18438.9900	20392.4620
19404.6380	20495.2620
20392.4620	21102.0620
20495.2620	22335.8380
21102.0620	22731.9660
22731.9660	22834.7660
12211.6620	12485.8220
12485.8220	13945.3900
13945.3900	14098.5900
13945.3900	16922.9900
11957.6620	12211.6620
12060.4620	11957.6620
13675.2620	12060.4620
14483.6620	13675.2620
13004.9420	14483.6620
13835.5020	13510.9420
13510.9420	13004.9420
14341.5020	13835.5020
15351.5020	14341.5020
14341.5020	15351.5020
14341.5020	14341.5020
15351.5020	14341.5020
15248.7020	15351.5020
14440.3020	15248.7020
15464.3980	15361.5980
15361.5980	14440.3020
15139.8380	15464.3980
16149.8380	15139.8380
17670.8940	16149.8380
18529.6940	17670.8940
19539.6940	18529.6940
19883.3900	19743.2940
